Episode: 377, total numsteps: 33423, episode steps: 0, reward: -131.43
Episode: 378, total numsteps: 33510, episode steps: 0, reward: -219.16
Episode: 379, total numsteps: 33568, episode steps: 0, reward: -90.59
Episode: 380, total numsteps: 33627, episode steps: 0, reward: -159.11
Episode: 381, total numsteps: 33719, episode steps: 0, reward: -337.94
Episode: 382, total numsteps: 33808, episode steps: 0, reward: -168.15
Episode: 383, total numsteps: 33865, episode steps: 0, reward: -153.03
Episode: 384, total numsteps: 33920, episode steps: 0, reward: -158.59
Episode: 385, total numsteps: 33973, episode steps: 0, reward: -115.0
Episode: 386, total numsteps: 34033, episode steps: 0, reward: -113.16
Episode: 387, total numsteps: 34140, episode steps: 0, reward: -5.61
Episode: 388, total numsteps: 34228, episode steps: 0, reward: -133.19
Episode: 389, total numsteps: 34301, episode steps: 0, reward: -114.88
Episode: 390, total numsteps: 34397, episode steps: 0, reward: -260.54
Episode: 391, total numsteps: 34482, episode steps: 0, reward: -126.75
Episode: 392, total numsteps: 34556, episode steps: 0, reward: -143.03
Episode: 393, total numsteps: 34611, episode steps: 0, reward: -111.1
Episode: 394, total numsteps: 34694, episode steps: 0, reward: -302.44
Episode: 395, total numsteps: 34789, episode steps: 0, reward: -195.2
Episode: 396, total numsteps: 34885, episode steps: 0, reward: -177.69
Episode: 397, total numsteps: 34969, episode steps: 0, reward: -173.31
Episode: 398, total numsteps: 35043, episode steps: 0, reward: -128.42
Episode: 399, total numsteps: 35135, episode steps: 0, reward: -134.3
Episode: 400, total numsteps: 35197, episode steps: 0, reward: -133.61
Episode: 401, total numsteps: 35278, episode steps: 0, reward: -158.02
Episode: 402, total numsteps: 35350, episode steps: 0, reward: -105.66
Episode: 403, total numsteps: 35460, episode steps: 0, reward: -5.46
Episode: 404, total numsteps: 35521, episode steps: 0, reward: -132.66
Episode: 405, total numsteps: 35591, episode steps: 0, reward: -154.34
Episode: 406, total numsteps: 35684, episode steps: 0, reward: -137.83
Episode: 407, total numsteps: 35769, episode steps: 0, reward: -169.97
Episode: 408, total numsteps: 35846, episode steps: 0, reward: -198.38
Episode: 409, total numsteps: 35911, episode steps: 0, reward: -186.17
Episode: 410, total numsteps: 35965, episode steps: 0, reward: -121.82
Episode: 411, total numsteps: 36027, episode steps: 0, reward: -99.99
Episode: 412, total numsteps: 36130, episode steps: 0, reward: -29.24
Episode: 413, total numsteps: 36233, episode steps: 0, reward: -117.15
Episode: 414, total numsteps: 36322, episode steps: 0, reward: -299.57
Episode: 415, total numsteps: 36383, episode steps: 0, reward: -102.35
Episode: 416, total numsteps: 36465, episode steps: 0, reward: -208.93
Episode: 417, total numsteps: 36568, episode steps: 0, reward: -177.51
Episode: 418, total numsteps: 36684, episode steps: 0, reward: -233.47
Episode: 419, total numsteps: 36790, episode steps: 0, reward: -162.15
Episode: 420, total numsteps: 36879, episode steps: 0, reward: -161.92
Episode: 421, total numsteps: 36940, episode steps: 0, reward: -131.8
Episode: 422, total numsteps: 37007, episode steps: 0, reward: -173.62
Episode: 423, total numsteps: 37102, episode steps: 0, reward: -349.19
Episode: 424, total numsteps: 37177, episode steps: 0, reward: -132.81
